case_id,meter_id_hash,locality,zone,consumer_category,premise_subtype,expected_vs_actual_summary,peer_comparison,communication_check,event_log_summary,outage_check,triggered_signals,signal_count,confidence_pct,risk_tier,recommended_team,recommended_action,alert_fingerprint,one_line_reason,estimated_monthly_loss_inr_low,estimated_monthly_loss_inr_high,audit_note
ALT-V4-0038,MTR_000193_HASH,Rajajinagar,West Circle,SMALL_INDUSTRY,GARMENT_UNIT,"First 30 days: 1382.2 kWh, Last 30 days: 1422.4 kWh, Drop: -2.9%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality",Pf Register,1,23.0,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,GARMENT_UNIT Rajajinagar SMALL_INDUSTRY meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 62f27e94dacc4e79. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0039,MTR_000262_HASH,Domlur,East Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 287.5 kWh, Last 30 days: 306.7 kWh, Drop: -6.7%",Peer rank dropped from 43 percentile to 57 percentile (-14 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality",Pf Register,1,18.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,KIRANA_RETAIL_SHOP Domlur COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 7dd38b9dcbc4def3. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0040,MTR_000315_HASH,KR Puram,East Circle,COMMERCIAL,SUPERMARKET_MINI_MART,"First 30 days: 1101.7 kWh, Last 30 days: 1164.0 kWh, Drop: -5.7%",Peer rank dropped from 86 percentile to 86 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 1 events in locality",Pf Register,1,18.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,SUPERMARKET_MINI_MART KR Puram COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 1573000c234cbe9f. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0041,MTR_000095_HASH,Whitefield,East Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 214.3 kWh, Last 30 days: 231.7 kWh, Drop: -8.1%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 2 events in locality",Pf Register,1,18.5,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,KIRANA_RETAIL_SHOP Whitefield COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: a5ba0c1242d64f5d. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0042,MTR_000342_HASH,Domlur,East Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 415.0 kWh, Last 30 days: 438.4 kWh, Drop: -5.6%",Peer rank dropped from 86 percentile to 100 percentile (-14 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality",Pf Register,1,18.1,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,KIRANA_RETAIL_SHOP Domlur COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 2550ea642d12c0bb. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0043,MTR_000122_HASH,Domlur,East Circle,COMMERCIAL,SMALL_OFFICE,"First 30 days: 316.6 kWh, Last 30 days: 338.4 kWh, Drop: -6.9%",Peer rank dropped from 67 percentile to 83 percentile (-17 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality",Pf Register,1,17.7,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,SMALL_OFFICE Domlur COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: e6eb0d49b27ce2d6. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0044,MTR_000146_HASH,Jayanagar,South Circle,COMMERCIAL,SALON,"First 30 days: 731.3 kWh, Last 30 days: 770.8 kWh, Drop: -5.4%",Peer rank dropped from 100 percentile to 100 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 3 events in locality",Pf Register,1,17.3,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,SALON Jayanagar COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 5f10fcdfcdb573ae. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0045,MTR_000331_HASH,Koramangala,South Circle,COMMERCIAL,RESTAURANT_CAFE,"First 30 days: 752.0 kWh, Last 30 days: 801.3 kWh, Drop: -6.5%",Peer rank dropped from 25 percentile to 25 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,Pf Register,1,16.9,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,RESTAURANT_CAFE Koramangala COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 8153b2ea61cc484c. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0046,MTR_000037_HASH,Domlur,East Circle,COMMERCIAL,SALON,"First 30 days: 697.8 kWh, Last 30 days: 742.1 kWh, Drop: -6.3%",Peer rank dropped from 85 percentile to 85 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,"Outage overlap: yes, 6 events in locality",Pf Register,1,16.8,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,SALON Domlur COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: 6dc898148ea6489f. Section 65B Indian Evidence Act compliance maintained.
ALT-V4-0047,MTR_000344_HASH,Koramangala,South Circle,COMMERCIAL,KIRANA_RETAIL_SHOP,"First 30 days: 483.8 kWh, Last 30 days: 503.7 kWh, Drop: -4.1%",Peer rank dropped from 67 percentile to 67 percentile (0 point drop),"Communication: 100.0% uptime, 0 missed readings",No events,Outage overlap: no,Pf Register,1,15.8,CLUSTER_WATCHLIST,Metering,Schedule meter health check,Low Power Factor,KIRANA_RETAIL_SHOP Koramangala COMMERCIAL meter,0.0,0.0,Evidence generated by Aletheon v4.0. Read-only record. SHA256: b166e93583ec02cd. Section 65B Indian Evidence Act compliance maintained.
